,date,high,low,ymd,week,sunrise,sunset,aqi,fx,fl,type,notice
0,19,高温 35℃,低温 24℃,2023-08-19,星期六,05:30,19:06,87,南风,1级,晴,愿你拥有比阳光明媚的心情
1,20,高温 32℃,低温 24℃,2023-08-20,星期日,05:31,19:04,61,南风,2级,多云,阴晴之间，谨防紫外线侵扰
2,21,高温 31℃,低温 22℃,2023-08-21,星期一,05:32,19:03,83,南风,2级,多云,阴晴之间，谨防紫外线侵扰
3,22,高温 32℃,低温 23℃,2023-08-22,星期二,05:33,19:02,83,北风,2级,晴,愿你拥有比阳光明媚的心情
4,23,高温 31℃,低温 21℃,2023-08-23,星期三,05:34,19:00,87,东风,2级,晴,愿你拥有比阳光明媚的心情
5,24,高温 28℃,低温 21℃,2023-08-24,星期四,05:35,18:59,67,南风,2级,阴,不要被阴云遮挡住好心情
6,25,高温 30℃,低温 21℃,2023-08-25,星期五,05:36,18:57,82,南风,2级,多云,阴晴之间，谨防紫外线侵扰
7,26,高温 22℃,低温 16℃,2023-08-26,星期六,05:37,18:56,56,东风,2级,大雨,出门最好穿雨衣，勿挡视线
8,27,高温 24℃,低温 15℃,2023-08-27,星期日,05:37,18:54,45,北风,1级,多云,阴晴之间，谨防紫外线侵扰
9,28,高温 28℃,低温 17℃,2023-08-28,星期一,05:38,18:53,39,东北风,2级,阴,不要被阴云遮挡住好心情
10,29,高温 29℃,低温 19℃,2023-08-29,星期二,05:39,18:51,40,东北风,1级,阴,不要被阴云遮挡住好心情
11,30,高温 28℃,低温 19℃,2023-08-30,星期三,05:40,18:50,69,西北风,2级,小雨,雨虽小，注意保暖别感冒
12,31,高温 30℃,低温 19℃,2023-08-31,星期四,05:41,18:48,50,西风,2级,晴,愿你拥有比阳光明媚的心情
13,01,高温 30℃,低温 20℃,2023-09-01,星期五,05:42,18:47,62,北风,1级,晴,愿你拥有比阳光明媚的心情
14,02,高温 31℃,低温 20℃,2023-09-02,星期六,05:43,18:45,47,西南风,2级,晴,愿你拥有比阳光明媚的心情
