,date,high,low,ymd,week,sunrise,sunset,aqi,fx,fl,type,notice
0,19,高温 35℃,低温 27℃,2023-08-19,星期六,06:04,18:56,87,南风,2级,大雨,出门最好穿雨衣，勿挡视线
1,20,高温 32℃,低温 27℃,2023-08-20,星期日,06:05,18:55,81,南风,2级,中雨,记得随身携带雨伞哦
2,21,高温 31℃,低温 27℃,2023-08-21,星期一,06:05,18:54,78,东南风,2级,小雨,雨虽小，注意保暖别感冒
3,22,高温 32℃,低温 27℃,2023-08-22,星期二,06:05,18:54,83,东南风,1级,中雨,记得随身携带雨伞哦
4,23,高温 30℃,低温 27℃,2023-08-23,星期三,06:06,18:53,86,东北风,1级,中雨,记得随身携带雨伞哦
5,24,高温 31℃,低温 27℃,2023-08-24,星期四,06:06,18:52,83,东风,2级,小雨,雨虽小，注意保暖别感冒
6,25,高温 31℃,低温 26℃,2023-08-25,星期五,06:07,18:51,81,东风,3级,中雨,记得随身携带雨伞哦
7,26,高温 32℃,低温 26℃,2023-08-26,星期六,06:07,18:50,52,东风,3级,小雨,雨虽小，注意保暖别感冒
8,27,高温 32℃,低温 26℃,2023-08-27,星期日,06:07,18:49,64,东风,3级,小雨,雨虽小，注意保暖别感冒
9,28,高温 33℃,低温 26℃,2023-08-28,星期一,06:08,18:48,42,东风,3级,小雨,雨虽小，注意保暖别感冒
10,29,高温 35℃,低温 27℃,2023-08-29,星期二,06:08,18:47,39,东风,2级,晴,愿你拥有比阳光明媚的心情
11,30,高温 34℃,低温 28℃,2023-08-30,星期三,06:08,18:46,56,北风,2级,多云,阴晴之间，谨防紫外线侵扰
12,31,高温 35℃,低温 28℃,2023-08-31,星期四,06:08,18:46,52,北风,3级,多云,阴晴之间，谨防紫外线侵扰
13,01,高温 35℃,低温 29℃,2023-09-01,星期五,06:09,18:45,72,北风,2级,晴,愿你拥有比阳光明媚的心情
14,02,高温 36℃,低温 28℃,2023-09-02,星期六,06:09,18:44,67,东北风,2级,多云,阴晴之间，谨防紫外线侵扰
