,date,high,low,ymd,week,sunrise,sunset,aqi,fx,fl,type,notice
0,19,高温 33℃,低温 24℃,2023-08-19,星期六,05:22,18:33,92,东南风,3级,多云,阴晴之间，谨防紫外线侵扰
1,20,高温 33℃,低温 26℃,2023-08-20,星期日,05:23,18:32,80,东南风,3级,多云,阴晴之间，谨防紫外线侵扰
2,21,高温 35℃,低温 27℃,2023-08-21,星期一,05:23,18:31,75,南风,3级,晴,愿你拥有比阳光明媚的心情
3,22,高温 31℃,低温 25℃,2023-08-22,星期二,05:24,18:30,69,西风,2级,中雨,记得随身携带雨伞哦
4,23,高温 30℃,低温 24℃,2023-08-23,星期三,05:25,18:29,62,西北风,2级,中雨,记得随身携带雨伞哦
5,24,高温 32℃,低温 24℃,2023-08-24,星期四,05:25,18:28,58,北风,2级,多云,阴晴之间，谨防紫外线侵扰
6,25,高温 31℃,低温 23℃,2023-08-25,星期五,05:26,18:26,58,东北风,2级,多云,阴晴之间，谨防紫外线侵扰
7,26,高温 30℃,低温 24℃,2023-08-26,星期六,05:26,18:25,76,东北风,2级,阴,不要被阴云遮挡住好心情
8,27,高温 32℃,低温 24℃,2023-08-27,星期日,05:27,18:24,64,东风,2级,多云,阴晴之间，谨防紫外线侵扰
9,28,高温 31℃,低温 24℃,2023-08-28,星期一,05:28,18:23,50,东风,2级,多云,阴晴之间，谨防紫外线侵扰
10,29,高温 30℃,低温 23℃,2023-08-29,星期二,05:28,18:22,50,西南风,2级,小雨,雨虽小，注意保暖别感冒
11,30,高温 29℃,低温 22℃,2023-08-30,星期三,05:29,18:21,48,西北风,3级,小雨,雨虽小，注意保暖别感冒
12,31,高温 30℃,低温 22℃,2023-08-31,星期四,05:29,18:19,42,西北风,3级,多云,阴晴之间，谨防紫外线侵扰
13,01,高温 31℃,低温 23℃,2023-09-01,星期五,05:30,18:18,52,北风,2级,阴,不要被阴云遮挡住好心情
14,02,高温 32℃,低温 25℃,2023-09-02,星期六,05:31,18:17,50,东北风,2级,阴,不要被阴云遮挡住好心情
