,date,high,low,ymd,week,sunrise,sunset,aqi,fx,fl,type,notice
0,19,高温 31℃,低温 27℃,2023-08-19,星期六,06:02,18:52,65,南风,2级,阴,不要被阴云遮挡住好心情
1,20,高温 28℃,低温 27℃,2023-08-20,星期日,06:02,18:52,75,东南风,2级,大雨,出门最好穿雨衣，勿挡视线
2,21,高温 31℃,低温 26℃,2023-08-21,星期一,06:03,18:51,71,南风,2级,多云,阴晴之间，谨防紫外线侵扰
3,22,高温 31℃,低温 27℃,2023-08-22,星期二,06:03,18:50,82,南风,2级,阴,不要被阴云遮挡住好心情
4,23,高温 31℃,低温 27℃,2023-08-23,星期三,06:03,18:49,87,东风,2级,小雨,雨虽小，注意保暖别感冒
5,24,高温 30℃,低温 26℃,2023-08-24,星期四,06:04,18:48,83,东风,3级,中雨,记得随身携带雨伞哦
6,25,高温 30℃,低温 26℃,2023-08-25,星期五,06:04,18:47,74,东风,3级,小雨,雨虽小，注意保暖别感冒
7,26,高温 29℃,低温 26℃,2023-08-26,星期六,06:04,18:46,47,东风,4级,小雨,雨虽小，注意保暖别感冒
8,27,高温 30℃,低温 26℃,2023-08-27,星期日,06:04,18:46,65,东风,3级,小雨,雨虽小，注意保暖别感冒
9,28,高温 31℃,低温 26℃,2023-08-28,星期一,06:05,18:45,42,东风,3级,小雨,雨虽小，注意保暖别感冒
10,29,高温 30℃,低温 27℃,2023-08-29,星期二,06:05,18:44,43,东风,3级,晴,愿你拥有比阳光明媚的心情
11,30,高温 31℃,低温 27℃,2023-08-30,星期三,06:05,18:43,65,东风,2级,中雨,记得随身携带雨伞哦
12,31,高温 31℃,低温 27℃,2023-08-31,星期四,06:06,18:42,46,东风,2级,多云,阴晴之间，谨防紫外线侵扰
13,01,高温 31℃,低温 27℃,2023-09-01,星期五,06:06,18:41,69,东风,2级,多云,阴晴之间，谨防紫外线侵扰
14,02,高温 30℃,低温 27℃,2023-09-02,星期六,06:06,18:40,63,东风,2级,多云,阴晴之间，谨防紫外线侵扰
